Latency,Interval
18446744056031733760,18446744073709549568
18446744056031733760,0
18446744056031731712,18446744073709549568
18446744056031731712,0
18446744056031731712,0
18446744056031729664,18446744073709549568
18446744056031729664,0
18446744056031727616,18446744073709549568
18446744056031727616,0
18446744056031725568,18446744073709549568
18446744056031725568,0
18446744056031723520,18446744073709549568
18446744056031723520,0
18446744056031721472,18446744073709549568
18446744056031549440,18446744073709379584
18446744056031547392,18446744073709549568
18446744056031547392,0
18446744056031545344,18446744073709549568
18446744056031545344,0
18446744056031543296,18446744073709549568
18446744056031543296,0
18446744056031541248,18446744073709549568
18446744056031541248,0
18446744056031539200,18446744073709549568
18446744056031539200,0
18446744056031537152,18446744073709549568
18446744056031537152,0
18446744056031535104,18446744073709549568
18446744056031535104,0
18446744056031535104,0
18446744056031533056,18446744073709549568
18446744056031533056,0
18446744056031531008,18446744073709549568
18446744056031531008,0
18446744056031528960,18446744073709549568
18446744056031528960,0
18446744056031526912,18446744073709549568
18446744056031526912,0
18446744056031526912,0
18446744056031524864,18446744073709549568
18446744056031524864,0
18446744056031522816,18446744073709549568
18446744056031522816,0
18446744056031520768,18446744073709549568
18446744056031520768,0
18446744056031518720,18446744073709549568
18446744056031518720,0
18446744056031516672,18446744073709549568
18446744056031516672,0
18446744056031514624,18446744073709549568
18446744056031514624,0
18446744056031512576,18446744073709549568
18446744056031512576,0
18446744056031512576,0
18446744056031510528,18446744073709549568
18446744056031510528,0
18446744056031508480,18446744073709549568
18446744056031508480,0
18446744056031506432,18446744073709549568
18446744056031506432,0
18446744056031504384,18446744073709549568
18446744056031504384,0
18446744056031504384,0
18446744056031502336,18446744073709549568
18446744056031502336,0
18446744056031500288,18446744073709549568
18446744056031500288,0
18446744056031498240,18446744073709549568
18446744056031498240,0
18446744056031496192,18446744073709549568
18446744056031496192,0
18446744056031320064,18446744073709375488
18446744056031320064,0
18446744056031318016,18446744073709549568
18446744056031318016,0
18446744056031315968,18446744073709549568
18446744056031315968,0
18446744056031313920,18446744073709549568
18446744056031313920,0
18446744056031313920,0
18446744056031311872,18446744073709549568
18446744056031311872,0
18446744056031309824,18446744073709549568
18446744056031309824,0
18446744056031307776,18446744073709549568
18446744056031307776,0
18446744056031305728,18446744073709549568
18446744056030806016,18446744073709051904
18446744056030806016,0
18446744056030803968,18446744073709549568
18446744056030803968,0
18446744056030801920,18446744073709549568
18446744056030801920,0
18446744056030799872,18446744073709549568
18446744056030799872,0
18446744056030738432,18446744073709490176
18446744056030736384,18446744073709549568
18446744056030736384,0
18446744056030736384,0
18446744056030734336,18446744073709549568
18446744056030734336,0
18446744056030732288,18446744073709549568
18446744056030732288,0
18446744056030730240,18446744073709549568
18446744056030730240,0
18446744056030728192,18446744073709549568
18446744056030728192,0
18446744056030726144,18446744073709549568
18446744056030726144,0
18446744056030724096,18446744073709549568
18446744056030724096,0
18446744056030724096,0
18446744056030722048,18446744073709549568
18446744056030722048,0
18446744056030720000,18446744073709549568
18446744056030720000,0
18446744056030717952,18446744073709549568
18446744056030717952,0
18446744056030715904,18446744073709549568
18446744056030715904,0
18446744056030713856,18446744073709549568
18446744056030713856,0
18446744056030711808,18446744073709549568
18446744056030711808,0
18446744056030709760,18446744073709549568
18446744056030709760,0
18446744056030709760,0
18446744056030707712,18446744073709549568
18446744056030707712,0
18446744056030705664,18446744073709549568
18446744056030705664,0
18446744056030703616,18446744073709549568
18446744056030703616,0
18446744056030701568,18446744073709549568
18446744056030701568,0
18446744056030701568,0
18446744056030699520,18446744073709549568
18446744056030699520,0
18446744056030697472,18446744073709549568
18446744056030697472,0
18446744056030695424,18446744073709549568
18446744056030695424,0
18446744056030693376,18446744073709549568
18446744056030693376,0
18446744056030691328,18446744073709549568
18446744056030691328,0
18446744056030689280,18446744073709549568
18446744056030689280,0
18446744056030687232,18446744073709549568
18446744056030687232,0
18446744056030687232,0
18446744056030685184,18446744073709549568
18446744056030685184,0
18446744056030683136,18446744073709549568
18446744056030683136,0
18446744056030681088,18446744073709549568
18446744056030681088,0
18446744056030679040,18446744073709549568
18446744056030679040,0
18446744056030679040,0
