Latency,LatencyAdj,Interval
2493182,18446744073707424798,16
2493270,18446744073707414886,88
2493310,18446744073707404926,40
2493374,18446744073707394990,64
2493386,18446744073707385002,12
2493398,18446744073707375014,12
2493410,18446744073707365026,12
2493422,18446744073707355038,12
2493434,18446744073707345050,12
2493762,18446744073707335378,328
2493810,18446744073707325426,48
2493830,18446744073707315446,20
2493842,18446744073707305458,12
2493858,18446744073707295474,16
2493866,18446744073707285482,8
2493878,18446744073707275494,12
2493890,18446744073707265506,12
2494270,18446744073707255886,380
2494326,18446744073707245942,56
2494338,18446744073707235954,12
2494350,18446744073707225966,12
2494366,18446744073707215982,16
2494378,18446744073707205994,12
2494390,18446744073707196006,12
2494402,18446744073707186018,12
2494726,18446744073707176342,324
2494874,18446744073707166490,148
2494886,18446744073707156502,12
2494898,18446744073707146514,12
2494906,18446744073707136522,8
2494922,18446744073707126538,16
2494934,18446744073707116550,12
2494946,18446744073707106562,12
2495282,18446744073707096898,336
2500194,18446744073707091810,4912
2500242,18446744073707081858,48
2500262,18446744073707071878,20
2500278,18446744073707061894,16
2500294,18446744073707051910,16
2500306,18446744073707041922,12
2500318,18446744073707031934,12
2500330,18446744073707021946,12
2500670,18446744073707012286,340
2500782,18446744073707002398,112
2500806,18446744073706992422,24
2500818,18446744073706982434,12
2500834,18446744073706972450,16
2500842,18446744073706962458,8
2500858,18446744073706952474,16
2500870,18446744073706942486,12
2503674,18446744073706935290,2804
2503730,18446744073706925346,56
2504226,18446744073706915842,496
2504246,18446744073706905862,20
2504262,18446744073706895878,16
2504274,18446744073706885890,12
2504290,18446744073706875906,16
2504298,18446744073706865914,8
2504314,18446744073706855930,16
2504326,18446744073706845942,12
2504338,18446744073706835954,12
2504350,18446744073706825966,12
2504374,18446744073706815990,24
2504394,18446744073706806010,20
2504406,18446744073706796022,12
2504418,18446744073706786034,12
2504666,18446744073706776282,248
2504714,18446744073706766330,48
2504730,18446744073706756346,16
2504738,18446744073706746354,8
2504758,18446744073706736374,20
2504770,18446744073706726386,12
2504782,18446744073706716398,12
2504794,18446744073706706410,12
2505170,18446744073706696786,376
2505222,18446744073706686838,52
2505238,18446744073706676854,16
2505250,18446744073706666866,12
2505262,18446744073706656878,12
2505274,18446744073706646890,12
2505290,18446744073706636906,16
2505306,18446744073706626922,16
2505658,18446744073706617274,352
2505710,18446744073706607326,52
2505730,18446744073706597346,20
2506246,18446744073706587862,516
2506262,18446744073706577878,16
2506274,18446744073706567890,12
2506294,18446744073706557910,20
2506302,18446744073706547918,8
2506314,18446744073706537930,12
2506326,18446744073706527942,12
2506338,18446744073706517954,12
2506350,18446744073706507966,12
2506362,18446744073706497978,12
2506378,18446744073706487994,16
2506394,18446744073706478010,16
2506402,18446744073706468018,8
2506726,18446744073706458342,324
2506746,18446744073706448362,20
2506818,18446744073706438434,72
2506838,18446744073706428454,20
2506850,18446744073706418466,12
2506862,18446744073706408478,12
2506874,18446744073706398490,12
2506886,18446744073706388502,12
2507194,18446744073706378810,308
2507214,18446744073706368830,20
2507226,18446744073706358842,12
2507238,18446744073706348854,12
2507278,18446744073706338894,40
2507294,18446744073706328910,16
2507306,18446744073706318922,12
2507318,18446744073706308934,12
2507678,18446744073706299294,360
2507758,18446744073706289374,80
2507774,18446744073706279390,16
2507782,18446744073706269398,8
2507974,18446744073706259590,192
2507986,18446744073706249602,12
2507994,18446744073706239610,8
2508006,18446744073706229622,12
2508166,18446744073706219782,160
2508214,18446744073706209830,48
2508230,18446744073706199846,16
2508238,18446744073706189854,8
2508250,18446744073706179866,12
2508262,18446744073706169878,12
2508282,18446744073706159898,20
2508290,18446744073706149906,8
2508690,18446744073706140306,400
2508750,18446744073706130366,60
2508766,18446744073706120382,16
2508786,18446744073706110402,20
2508794,18446744073706100410,8
2508806,18446744073706090422,12
2508818,18446744073706080434,12
2508830,18446744073706070446,12
2509094,18446744073706060710,264
2509222,18446744073706050838,128
2509274,18446744073706040890,52
2509294,18446744073706030910,20
2509302,18446744073706020918,8
2509318,18446744073706010934,16
2509334,18446744073706000950,16
2509338,18446744073705990954,4
2509710,18446744073705981326,372
2509778,18446744073705971394,68
2509794,18446744073705961410,16
2509806,18446744073705951422,12
2509818,18446744073705941434,12
2509830,18446744073705931446,12
2509838,18446744073705921454,8
2509850,18446744073705911466,12
2510174,18446744073705901790,324
2510254,18446744073705891870,80
2510282,18446744073705881898,28
2510290,18446744073705871906,8
2510302,18446744073705861918,12
2510314,18446744073705851930,12
2510326,18446744073705841942,12
2510338,18446744073705831954,12
2510738,18446744073705822354,400
2510786,18446744073705812402,48
2510802,18446744073705802418,16
2510810,18446744073705792426,8
2510822,18446744073705782438,12
2510834,18446744073705772450,12
2510846,18446744073705762462,12
2510858,18446744073705752474,12
2511206,18446744073705742822,348
2511262,18446744073705732878,56
2511274,18446744073705722890,12
2511282,18446744073705712898,8
2511294,18446744073705702910,12
2511310,18446744073705692926,16
2511318,18446744073705682934,8
2511330,18446744073705672946,12
2511654,18446744073705663270,324
2511730,18446744073705653346,76
2511750,18446744073705643366,20
2511766,18446744073705633382,16
